#,Stage,Category,Capability,Description,AI/ML Technique,Data Inputs,Systems/Tools,Value/Benefit,Value Type,Human Role,Human Role Description,Related Capabilities
1,01 Demand & intake,Lifecycle,Capture & structure demand,"Turns any incoming request into a clean, complete, structured demand record",LLM (NLU + generation); document parsing,"Emails, Teams messages, intake forms, tickets","Outlook/Teams, SharePoint forms, ITSM; writes ADO/Planview","Faster, cleaner intake; less back-and-forth",Speed,Human approves,Confirms scope before it enters the portfolio,Classify & route; Capacity check
2,01 Demand & intake,Lifecycle,Classify & route,"Classifies demand by type, domain, risk and funding and routes it; flags duplicates",Text classification; retrieval (embeddings),"Demand taxonomy, org/domain directory, historical demand corpus","ADO/Planview, identity directory",Triage in minutes; duplicates caught early,Speed,Human approves,Owns final routing and priority,Capture & structure; Capacity check
3,01 Demand & intake,Lifecycle,Capacity check,"Tests new demand against capacity, skills and roadmap for an early feasibility signal",Forecasting ML; optimization,"Capacity & resource pool, skills data, roadmap",Planview resource management,Realistic commitments; less over-loading,Risk/Control,Human approves,Decides what to commit,Classify & route; Resource levelling
4,01 Demand & intake,Lifecycle,Business-case draft,Assembles a first-cut business case from the demand and comparable past work,LLM generation; retrieval,"Demand record, comparable project actuals, finance benchmarks","Planview, finance/ERP, SharePoint",Faster initiation; consistent cases,Speed,Human directs,Owns the case and the numbers,Capture & structure; Estimate from history
5,02 Estimate & shape,Lifecycle,Estimate from history,"Sizes effort, cost and duration from comparable completed work, with a confidence range",Forecasting / regression ML; retrieval,"ADO history, Planview actuals, prior-project effort/cost repository","ADO, Planview",More accurate estimates; fewer overruns,Cost/Effort,Human directs,Calibrates and owns the estimate,Business-case draft; Reconcile plans
6,02 Estimate & shape,Lifecycle,Challenge the estimate,Stress-tests an estimate for optimism bias and missing scope,LLM reasoning; analytics,"Estimate, historical actuals, risk-factor register","ADO, Planview",Estimate integrity; fewer surprises,Risk/Control,Human directs,Decides whether to revise,Estimate from history
7,02 Estimate & shape,Lifecycle,Re-estimate triggers,Watches scope and actuals and flags when a re-baseline is warranted,Anomaly detection,"Live scope (ADO), actuals & timesheets","ADO, timesheets",Forecasts stay honest,Risk/Control,Human approves,Approves the re-baseline,Critical-path view; Burn & forecast
8,03 Plan & schedule,Lifecycle,Reconcile plans,Keeps plans in sync across tools and flags divergence before steering,Data integration; entity matching,"ADO sprints, Planview milestones, MS Project, vendor plans","ADO, Planview, MS Project, vendor tools",Plans you can trust; less manual rework,Cost/Effort,Human approves,Resolves the conflicts,Critical-path view; Multi-vendor status
9,03 Plan & schedule,Lifecycle,Critical-path view,"Continuously computes critical path, float and conflicts and explains the end-date driver",Graph analytics; scheduling,"Plan, task dependencies, actuals","ADO, Planview",Slippage foreseen early,Speed,Human directs,Acts on the bottleneck,Reconcile plans; Sense dependencies
10,03 Plan & schedule,Lifecycle,Re-plan scenarios,"Generates re-plan options (crash, de-scope, add capacity) with cost-date trade-offs",Optimization / solver; LLM,"Plan, resource roster, cost rates, constraints","Planview, finance",Faster recovery from slips,Speed,Human directs,Chooses the trade-off,Critical-path view; Resource levelling
11,03 Plan & schedule,Lifecycle,Resource levelling,Proposes assignment changes to resolve over-allocation and skills gaps,Optimization / solver,"Resource & capacity, skills, allocations",Planview,Better utilisation; less burnout,Cost/Effort,Human directs,Owns people decisions,Capacity check; Re-plan scenarios
12,04 Dependencies,Lifecycle,Sense dependencies,"Discovers dependencies automatically from work links, architecture and comms",Knowledge graph; NLP; retrieval,"Work-item links, architecture/CMDB, Teams comms, component registry","ADO, CMDB, Teams",The top slippage cause caught early,Risk/Control,Human monitors,Curates the dependency graph,Critical-path view; Cross-programme impact; Risk sensing
13,04 Dependencies,Lifecycle,Chase commitments,Tracks cross-team commitments and nudges owners; escalates threats to the critical path,Workflow automation; LLM,"Dependency log, owner directory, status feeds","ADO, Teams/email",Coordination toil removed,Cost/Effort,Human approves,Sets escalation rules,Sense dependencies; Status reporting
14,04 Dependencies,Lifecycle,Cross-programme impact,Computes the ripple across other programmes sharing the same assets,Knowledge graph analytics,"Portfolio dependency graph, shared-asset registry, change calendar","Planview, ITSM, ADO",Collisions avoided,Risk/Control,Human monitors,"Reviews impact, decides sequencing",Sense dependencies; Collision detection
15,05 Config & environments,Lifecycle,Drift detection,Reconciles records against what is actually deployed and flags drift,Anomaly detection; config compare,"CMDB, environment registries, live deploy state (pipelines/IaC)","CMDB/ITSM, ADO pipelines, IaC",Fewer failed changes,Risk/Control,Human monitors,Acts on flagged drift,Baseline reconcile; Release-readiness
16,05 Config & environments,Lifecycle,Baseline reconcile,Maintains release baselines and verifies the right versions are bundled,Config analysis; rules,"ADO repos & pipelines, release definitions, artifact registry","ADO, artifact registry",Release integrity,Risk/Control,Human approves,Confirms the baseline,Drift detection; Deployment orchestration
17,05 Config & environments,Lifecycle,Records hygiene,Proposes configuration-record updates from observed reality,Anomaly detection; LLM,"CMDB, discovery tooling, observed state","CMDB/ITSM, discovery tools",Trustworthy source of record,Quality,Human approves,Approves every write,Drift detection
18,06 Build & deploy,Lifecycle,Deployment orchestration,Drives the deployment runbook across environments and teams; checks pre-conditions,Workflow automation; orchestration,"Pipelines, deployment tools, runbooks, change records","ADO pipelines, deploy tools, SharePoint, ITSM",Cutover toil and errors down,Cost/Effort,Human approves,Holds go/no-go on production steps,Release-readiness; Rollback readiness; Cutover comms
19,06 Build & deploy,Lifecycle,Release-readiness,Verifies every go-live precondition and produces an evidence-backed go/no-go,Multi-agent orchestration; rules,"Test results, change approval, config state, ops-readiness","ADO Test, ITSM, CMDB","Safer, faster go/no-go",Risk/Control,Human approves,Makes the go/no-go call,Test execution; Drift detection; Change-record drafting; Readiness validation
20,06 Build & deploy,Lifecycle,Rollback readiness,Prepares and validates the rollback plan before cutover,Workflow automation; verification,"Release definition, environment state, backup/restore","ADO, deploy tools, backup systems",Blast-radius control,Risk/Control,Human approves,Confirms rollback is viable,Deployment orchestration
21,06 Build & deploy,Lifecycle,Cutover comms,"Runs the cutover bridge: live status, step tracking, stakeholder updates",LLM generation; eventing,"Deployment status feed, stakeholder directory","Deploy tools, Teams","Calmer, faster cutovers",Speed,Human monitors,Owns decisions on the bridge,Deployment orchestration; Status reporting
22,06 Build & deploy,Lifecycle,Runbook drafting,Drafts and maintains deployment runbooks from the change and prior runbooks,LLM generation; retrieval,"Change record, prior runbooks, architecture docs","SharePoint, ADO",Preparation time down,Cost/Effort,Human directs,SME reviews the runbook,Deployment orchestration
23,07 Test & quality,Lifecycle,Test generation,"Derives test cases from requirements and code changes, with traceability",LLM; code analysis,"Requirements/stories, code diffs, traceability","ADO, repos",Coverage up; design time down,Quality,Human directs,Reviews critical-path tests,Test data on demand; Test execution; Traceability
24,07 Test & quality,Lifecycle,Test data on demand,Provisions compliant masked/synthetic data matched to test needs,Synthetic data generation; data masking,"Prod schema (masked), data-classification policy, test envs","Test-data tools, test environments",A top time-to-market bottleneck removed,Speed,Human approves,Privacy sign-off,Test generation; Test execution
25,07 Test & quality,Lifecycle,Defect triage,"Clusters, dedups, prioritises and routes defects; hints root cause",Clustering; classification; retrieval,"Defect backlog, code-ownership map, historical defects","ADO, repos",Triage time down; release risk visible,Quality,Human approves,Confirms high-severity calls,Quality gate; Status reporting
26,07 Test & quality,Lifecycle,Security testing,"Runs continuous in-pipeline security testing, triages findings, drafts fixes",DAST/SAST scanners + LLM triage,"CI/CD pipeline, app endpoints, vulnerability database","Pipeline, security tools, ITSM",Security off the critical path (TTM),Risk/Control,Human approves,Signs off exploitable findings,Quality gate; Release-readiness
27,07 Test & quality,Lifecycle,Test execution,Selects and runs the right impact-based suite; reports results with failure analysis,Test automation; LLM analysis,"Test suites, change-to-test impact map, CI results","ADO Test, CI",Test cycle time down,Speed,Human approves,Accepts the test outcome,Test generation; Release-readiness
28,07 Test & quality,Lifecycle,Traceability,"Maintains the live requirement-test-defect matrix, audit-ready",Knowledge graph; linking,"Requirements, tests, defects (linked)",ADO,Audit evidence; coverage gaps visible,Quality,Human directs,Reviews coverage,Test generation; Quality gate
29,07 Test & quality,Lifecycle,Quality gate,Judges whether quality thresholds are met for release and explains the gaps,Rules + LLM reasoning,"Test results, coverage, quality-threshold policy","ADO, quality tools","Objective, explained release gate",Risk/Control,Human approves,Owns the gate decision,Defect triage; Security testing; Release-readiness
30,08 Release & change,Lifecycle,Change-record drafting,"Auto-authors the change record (plan, backout, evidence) from delivery artefacts",LLM generation; retrieval,"Release & test evidence, deployment plan, ITSM schema","ADO, ITSM",Hours of admin per change saved,Cost/Effort,Human approves,Owns the submitted record,Change-risk scoring; Release-readiness
31,08 Release & change,Lifecycle,Change-risk scoring,Scores change risk and blast radius and recommends the path,ML classification; analytics,"Historical change outcomes, CMDB dependencies, config, calendar","ITSM, CMDB",CAB load down; low-risk change faster,Risk/Control,Human monitors,Reviews or overrides the score,Change-record drafting; Collision detection
32,08 Release & change,Lifecycle,CAB prep,"Assembles the CAB pack, checks calendar conflicts, pre-answers likely questions",LLM generation; retrieval,"Change set, change calendar, CAB policy, prior Q&A",ITSM,CAB preparation toil removed,Cost/Effort,Human approves,Chairs and decides at CAB,Change-record drafting; Collision detection
33,08 Release & change,Lifecycle,Collision detection,Finds clashing changes on shared assets and freeze windows,Graph analytics; rules,"Change calendar, shared-asset registry, freeze rules","ITSM, CMDB",Avoided incidents,Risk/Control,Human approves,Decides on the clash,Cross-programme impact; Change-risk scoring
34,08 Release & change,Lifecycle,Audit evidence,"Continuously assembles the who/what/when/approval trail, regulator-ready",Knowledge graph; immutable logging,"Change-lifecycle events, approvals","ITSM, log store",Audit cost down; compliance up,Risk/Control,Human monitors,Attests to the record,Change-record drafting
35,09 Ops readiness,Lifecycle,Readiness validation,Checks readiness criteria and reports gaps before go-live,Rules + LLM,"Readiness criteria, monitoring config, support model, KT","ITSM, monitoring, SharePoint",Post-go-live incidents avoided,Risk/Control,Human approves,Owns the readiness sign-off,Release-readiness; Monitoring setup
36,09 Ops readiness,Lifecycle,Handover & KT,"Generates the support runbook, known-error notes and KT pack for run teams",LLM generation; retrieval,"Delivery artefacts, known-errors, runbooks, knowledge base","SharePoint, ITSM, KB",Smoother handover; better early-life support,Quality,Human directs,Run team reviews,Runbook drafting; Knowledge & onboarding
37,09 Ops readiness,Lifecycle,Monitoring setup,Proposes the alerts and dashboards a change needs from its components and SLOs,LLM; config generation,"Component inventory, SLOs",Observability platform,Day-one observability,Quality,Human directs,SRE reviews,Readiness validation
38,Always-on · Risk & issues,Always-on,Risk sensing,Surfaces emerging risks from delivery signals before humans log them,Anomaly detection; NLP sentiment; retrieval,"Velocity & build failures, comms sentiment, dependency breaks","ADO, Teams, CI",Risks caught weeks earlier,Risk/Control,Human monitors,Accepts and owns mitigation,Sense dependencies; Status reporting; Issue resolution
39,Always-on · Risk & issues,Always-on,Mitigation tracking,Tracks mitigation actions to closure; flags risks with no live mitigation,Workflow automation,"RAID log, action owners, status",ADO / SharePoint RAID,RAID hygiene maintained,Cost/Effort,Human approves,Owns mitigation decisions,Risk sensing
40,Always-on · Risk & issues,Always-on,Issue resolution,Assembles context and similar past issues; proposes a resolution path,Retrieval; LLM reasoning,"Issue log, similar past issues, knowledge base","ADO, KB",Issue cycle time down,Speed,Human directs,Decides the resolution,Risk sensing; Knowledge & onboarding
41,Always-on · Budget & cost,Always-on,Burn & forecast,"Reconciles actuals, tracks burn vs plan, drafts the forecast and variance narrative",Forecasting ML; LLM generation,"Finance/ERP actuals, timesheets, vendor invoices, Planview financials","Finance/ERP, timesheets, Planview",Finance cycle time and accuracy up,Cost/Effort,Human directs,Commits the forecast,Re-estimate triggers; Invoice & PO match
42,Always-on · Budget & cost,Always-on,Invoice & PO match,"Matches vendor invoices to POs, SOWs and delivered work; flags discrepancies",Document parsing; matching,"Invoices, POs, SOWs, delivered-work records","Finance/ERP, PO system",Leakage and AP toil down,Cost/Effort,Human approves,Approves disputes,Burn & forecast; SLA tracking
43,Always-on · Budget & cost,Always-on,Capex / opex,"Classifies spend as capex/opex against policy, with evidence",Classification; rules,"Spend records, capex/opex policy, project structure",Finance/ERP,Finance compliance,Risk/Control,Human directs,Finance signs off,Burn & forecast
44,Always-on · Vendor coordination,Always-on,Status normaliser,Ingests each vendor's reports in their own format and unifies them into one view,LLM extraction; document parsing,"Vendor status reports (varied formats), shared boards, SLA defs","Vendor tools, shared boards",The multi-vendor integration tax removed,Cost/Effort,Human monitors,Validates vendor self-reporting,Status reporting; SLA tracking
45,Always-on · Vendor coordination,Always-on,SLA tracking,Tracks vendor SLAs and SOW commitments; flags breaches and at-risk obligations,Rules; analytics,"Contracts/SOWs, delivery metrics, SLA thresholds","Contract store, delivery data",Vendor accountability,Risk/Control,Human approves,Owns commercial calls,Status normaliser; Invoice & PO match
46,Always-on · Vendor coordination,Always-on,Vendor onboarding,"Runs the access, compliance and setup checklist when a supplier joins or leaves",Workflow automation,"Identity & access systems, compliance checklist","IAM, ITSM",Onboarding speed and security,Risk/Control,Human approves,Approves access grants,SLA tracking
47,Always-on · Reporting & comms,Always-on,Status reporting,Synthesises live data into audience-tuned reports on cadence or on demand,LLM generation; retrieval; multi-agent orchestration,"ADO, Planview, finance, RAID (unified read)","ADO, Planview, finance, RAID; outputs PPT/Power BI/Teams",The single biggest time sink returned,Cost/Effort,Human approves,Owns the RAG call and the message,Pulls from nearly all use cases
48,Always-on · Reporting & comms,Always-on,Exec narrative,Drafts the 'so what' narrative and pre-empts likely exec questions,LLM generation,"Status history, prior exec questions","BI, SharePoint",Exec prep time and message quality up,Cost/Effort,Human directs,Owns the message,Status reporting
49,Always-on · Reporting & comms,Always-on,Meeting actions,Captures decisions and actions and tracks them to closure across tools,Speech-to-text; LLM; workflow,"Meeting transcripts, action tracker","Teams, ADO/Planner",Follow-through up; admin down,Cost/Effort,Human approves,Confirms actions and owners,Status reporting
50,Always-on · Reporting & comms,Always-on,Comms tailoring,Adapts the same update to each audience's concerns and channel,LLM generation,"Core update, stakeholder profiles, channels","Email, Teams",Comms load down; alignment up,Cost/Effort,Human directs,Approves external comms,Exec narrative; Status reporting
51,Always-on · Knowledge & artefacts,Always-on,Artefact sync,Keeps artefacts consistent and current across tools; answers 'where is the latest X',Knowledge graph; retrieval,"Cross-tool artefacts (Teams, SharePoint, Planview, ADO)","Teams, SharePoint, Planview, ADO",Rework down; audit-ready,Quality,Human approves,Governs cross-tool writes,Knowledge & onboarding; Status reporting
52,Always-on · Knowledge & artefacts,Always-on,Knowledge & onboarding,"A living, queryable knowledge base that answers delivery questions and speeds onboarding",RAG + embeddings; LLM,"Project-artefact corpus, skills data, onboarding guides","SharePoint, ADO, Teams, KB",Onboarding time down; knowledge retained,Cost/Effort,Human directs,Validates sourced answers,Artefact sync; Issue resolution